"","method","template","index","data","origin"
"1","bayes_adjusted_80","neurosynth",0.0761163574241921,"face_Gordon","BrainMap"
"2","bayes_adjusted_85","neurosynth",0.0666557484441533,"face_Gordon","BrainMap"
"3","bayes_adjusted_90","neurosynth",0.0563424614416116,"face_Gordon","BrainMap"
"4","bayes_707","neurosynth",0.0235421345977872,"face_Gordon","BrainMap"
"5","fwe","neurosynth",NA,"face_Gordon","BrainMap"
"6","bayes_adjusted_95","neurosynth",0.0402472224266058,"face_Gordon","BrainMap"
"7","bayes_adjusted_80","brainmap",0.0460526315789474,"face_Gordon","BrainMap"
"8","bayes_adjusted_85","brainmap",0.0469128622661626,"face_Gordon","BrainMap"
"9","bayes_adjusted_90","brainmap",0.0455352612886859,"face_Gordon","BrainMap"
"10","bayes_707","brainmap",0.0325870646766169,"face_Gordon","BrainMap"
"11","fwe","brainmap",NA,"face_Gordon","BrainMap"
"12","bayes_adjusted_95","brainmap",0.0404293381037567,"face_Gordon","BrainMap"
"13","bayes_adjusted_80","neuroquery",0.0819147069147069,"face_Gordon","BrainMap"
"14","bayes_adjusted_85","neuroquery",0.0724738675958188,"face_Gordon","BrainMap"
"15","bayes_adjusted_90","neuroquery",0.0603947590395321,"face_Gordon","BrainMap"
"16","bayes_707","neuroquery",0.0230620015805733,"face_Gordon","BrainMap"
"17","fwe","neuroquery",NA,"face_Gordon","BrainMap"
"18","bayes_adjusted_95","neuroquery",0.0412111017661901,"face_Gordon","BrainMap"
