"","method","template","index","data","origin"
"1","bayes_adjusted_80","neurosynth",0.08212317076583,"face_Gordon","NeuroQuery"
"2","bayes_adjusted_85","neurosynth",0.0841647480173958,"face_Gordon","NeuroQuery"
"3","bayes_adjusted_90","neurosynth",0.0821181294240514,"face_Gordon","NeuroQuery"
"4","bayes_707","neurosynth",0.0235421345977872,"face_Gordon","NeuroQuery"
"5","fwe","neurosynth",NA,"face_Gordon","NeuroQuery"
"6","bayes_adjusted_95","neurosynth",0.0698160535117057,"face_Gordon","NeuroQuery"
"7","bayes_adjusted_80","brainmap",0.0335280121133463,"face_Gordon","NeuroQuery"
"8","bayes_adjusted_85","brainmap",0.0371707275149327,"face_Gordon","NeuroQuery"
"9","bayes_adjusted_90","brainmap",0.0421801478825902,"face_Gordon","NeuroQuery"
"10","bayes_707","brainmap",0.0325870646766169,"face_Gordon","NeuroQuery"
"11","fwe","brainmap",NA,"face_Gordon","NeuroQuery"
"12","bayes_adjusted_95","brainmap",0.0461607543780871,"face_Gordon","NeuroQuery"
"13","bayes_adjusted_80","neuroquery",0.0886361824800064,"face_Gordon","NeuroQuery"
"14","bayes_adjusted_85","neuroquery",0.0900211034066928,"face_Gordon","NeuroQuery"
"15","bayes_adjusted_90","neuroquery",0.0881770026305358,"face_Gordon","NeuroQuery"
"16","bayes_707","neuroquery",0.0230620015805733,"face_Gordon","NeuroQuery"
"17","fwe","neuroquery",NA,"face_Gordon","NeuroQuery"
"18","bayes_adjusted_95","neuroquery",0.0753541884567843,"face_Gordon","NeuroQuery"
