"","method","template","index","data","origin"
"1","bayes_adjusted_80","neurosynth",0.0735962831158561,"speech_HCP","BrainMap"
"2","bayes_adjusted_85","neurosynth",0.0664315448658649,"speech_HCP","BrainMap"
"3","bayes_adjusted_90","neurosynth",0.0546935111567068,"speech_HCP","BrainMap"
"4","bayes_707","neurosynth",0.00258815917178907,"speech_HCP","BrainMap"
"5","fwe","neurosynth",8.13338755591704e-05,"speech_HCP","BrainMap"
"6","bayes_adjusted_95","neurosynth",0.0306605491224237,"speech_HCP","BrainMap"
"7","bayes_adjusted_80","brainmap",0.0679324894514768,"speech_HCP","BrainMap"
"8","bayes_adjusted_85","brainmap",0.0632781602460817,"speech_HCP","BrainMap"
"9","bayes_adjusted_90","brainmap",0.0533712564831855,"speech_HCP","BrainMap"
"10","bayes_707","brainmap",0.00206374684705343,"speech_HCP","BrainMap"
"11","fwe","brainmap",NA,"speech_HCP","BrainMap"
"12","bayes_adjusted_95","brainmap",0.0312221231043711,"speech_HCP","BrainMap"
"13","bayes_adjusted_80","neuroquery",0.0666303108422983,"speech_HCP","BrainMap"
"14","bayes_adjusted_85","neuroquery",0.0602262837249782,"speech_HCP","BrainMap"
"15","bayes_adjusted_90","neuroquery",0.050016092693917,"speech_HCP","BrainMap"
"16","bayes_707","neuroquery",0.00235714866292774,"speech_HCP","BrainMap"
"17","fwe","neuroquery",8.17394147457904e-05,"speech_HCP","BrainMap"
"18","bayes_adjusted_95","neuroquery",0.0286027798098025,"speech_HCP","BrainMap"
