"","method","template","index","data","origin"
"1","bayes_adjusted_80","neurosynth",0.0735962831158561,"speech_HCP","NeuroQuery"
"2","bayes_adjusted_85","neurosynth",0.0715007713996914,"speech_HCP","NeuroQuery"
"3","bayes_adjusted_90","neurosynth",0.0635502958579881,"speech_HCP","NeuroQuery"
"4","bayes_707","neurosynth",0.00258815917178907,"speech_HCP","NeuroQuery"
"5","fwe","neurosynth",8.13338755591704e-05,"speech_HCP","NeuroQuery"
"6","bayes_adjusted_95","neurosynth",0.042,"speech_HCP","NeuroQuery"
"7","bayes_adjusted_80","brainmap",0.0679324894514768,"speech_HCP","NeuroQuery"
"8","bayes_adjusted_85","brainmap",0.0665786869020125,"speech_HCP","NeuroQuery"
"9","bayes_adjusted_90","brainmap",0.0610197616533414,"speech_HCP","NeuroQuery"
"10","bayes_707","brainmap",0.00206374684705343,"speech_HCP","NeuroQuery"
"11","fwe","brainmap",NA,"speech_HCP","NeuroQuery"
"12","bayes_adjusted_95","brainmap",0.0419966844722785,"speech_HCP","NeuroQuery"
"13","bayes_adjusted_80","neuroquery",0.0666303108422983,"speech_HCP","NeuroQuery"
"14","bayes_adjusted_85","neuroquery",0.0645281810418446,"speech_HCP","NeuroQuery"
"15","bayes_adjusted_90","neuroquery",0.0579013005522893,"speech_HCP","NeuroQuery"
"16","bayes_707","neuroquery",0.00235714866292774,"speech_HCP","NeuroQuery"
"17","fwe","neuroquery",8.17394147457904e-05,"speech_HCP","NeuroQuery"
"18","bayes_adjusted_95","neuroquery",0.0389916199182769,"speech_HCP","NeuroQuery"
