"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.231450668638689,"wm_DeYoung","BrainMap"
"2","bayes_adjusted_85","bayes_meta",0.230648443383378,"wm_DeYoung","BrainMap"
"3","bayes_adjusted_90","bayes_meta",0.22774096075267,"wm_DeYoung","BrainMap"
"4","bayes_707","bayes_meta",0.0920633910386965,"wm_DeYoung","BrainMap"
"5","fwe","bayes_meta",0.00103902101131378,"wm_DeYoung","BrainMap"
"6","bayes_adjusted_95","bayes_meta",0.216791681549391,"wm_DeYoung","BrainMap"
"7","bayes_adjusted_80","neurosynth",0.199345438772895,"wm_DeYoung","BrainMap"
"8","bayes_adjusted_85","neurosynth",0.205976277372263,"wm_DeYoung","BrainMap"
"9","bayes_adjusted_90","neurosynth",0.217276833337116,"wm_DeYoung","BrainMap"
"10","bayes_707","neurosynth",0.174218251435865,"wm_DeYoung","BrainMap"
"11","fwe","neurosynth",0.00423764725824222,"wm_DeYoung","BrainMap"
"12","bayes_adjusted_95","neurosynth",0.237550749855,"wm_DeYoung","BrainMap"
"13","bayes_adjusted_80","brainmap",0.254216991138331,"wm_DeYoung","BrainMap"
"14","bayes_adjusted_85","brainmap",0.258305484568508,"wm_DeYoung","BrainMap"
"15","bayes_adjusted_90","brainmap",0.262434352795799,"wm_DeYoung","BrainMap"
"16","bayes_707","brainmap",0.142651181417701,"wm_DeYoung","BrainMap"
"17","fwe","brainmap",0.00255990169977473,"wm_DeYoung","BrainMap"
"18","bayes_adjusted_95","brainmap",0.265498406918525,"wm_DeYoung","BrainMap"
"19","bayes_adjusted_80","neuroquery",0.151780919992841,"wm_DeYoung","BrainMap"
"20","bayes_adjusted_85","neuroquery",0.155317456995773,"wm_DeYoung","BrainMap"
"21","bayes_adjusted_90","neuroquery",0.161963274569588,"wm_DeYoung","BrainMap"
"22","bayes_707","neuroquery",0.129293410322043,"wm_DeYoung","BrainMap"
"23","fwe","neuroquery",0.00369685767097967,"wm_DeYoung","BrainMap"
"24","bayes_adjusted_95","neuroquery",0.171349492577371,"wm_DeYoung","BrainMap"
