"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.159308847476027,"wm_HCP","BrainMap"
"2","bayes_adjusted_85","bayes_meta",0.15340411946934,"wm_HCP","BrainMap"
"3","bayes_adjusted_90","bayes_meta",0.14100902274749,"wm_HCP","BrainMap"
"4","bayes_707","bayes_meta",0.0243786375782423,"wm_HCP","BrainMap"
"5","fwe","bayes_meta",7.72111338455005e-05,"wm_HCP","BrainMap"
"6","bayes_adjusted_95","bayes_meta",0.112447834220751,"wm_HCP","BrainMap"
"7","bayes_adjusted_80","neurosynth",0.204668820140531,"wm_HCP","BrainMap"
"8","bayes_adjusted_85","neurosynth",0.203345195729537,"wm_HCP","BrainMap"
"9","bayes_adjusted_90","neurosynth",0.198266952857938,"wm_HCP","BrainMap"
"10","bayes_707","neurosynth",0.0597014925373134,"wm_HCP","BrainMap"
"11","fwe","neurosynth",0.000256060088767497,"wm_HCP","BrainMap"
"12","bayes_adjusted_95","neurosynth",0.178762525537504,"wm_HCP","BrainMap"
"13","bayes_adjusted_80","brainmap",0.219003230761083,"wm_HCP","BrainMap"
"14","bayes_adjusted_85","brainmap",0.212876398850222,"wm_HCP","BrainMap"
"15","bayes_adjusted_90","brainmap",0.198504150071448,"wm_HCP","BrainMap"
"16","bayes_707","brainmap",0.0381020848310568,"wm_HCP","BrainMap"
"17","fwe","brainmap",0.000154249575813667,"wm_HCP","BrainMap"
"18","bayes_adjusted_95","brainmap",0.161924286875685,"wm_HCP","BrainMap"
"19","bayes_adjusted_80","neuroquery",0.145314453719036,"wm_HCP","BrainMap"
"20","bayes_adjusted_85","neuroquery",0.145217265562866,"wm_HCP","BrainMap"
"21","bayes_adjusted_90","neuroquery",0.142071197411003,"wm_HCP","BrainMap"
"22","bayes_707","neuroquery",0.0395462423192059,"wm_HCP","BrainMap"
"23","fwe","neuroquery",0.000266004610746586,"wm_HCP","BrainMap"
"24","bayes_adjusted_95","neuroquery",0.129224652087475,"wm_HCP","BrainMap"
