"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.162018215625098,"wm_Henson","BrainMap"
"2","bayes_adjusted_85","bayes_meta",0.162466256582732,"wm_Henson","BrainMap"
"3","bayes_adjusted_90","bayes_meta",0.161499405855029,"wm_Henson","BrainMap"
"4","bayes_707","bayes_meta",0.125617719731733,"wm_Henson","BrainMap"
"5","fwe","bayes_meta",0.0238948184806293,"wm_Henson","BrainMap"
"6","bayes_adjusted_95","bayes_meta",0.156290458767239,"wm_Henson","BrainMap"
"7","bayes_adjusted_80","neurosynth",0.0711058440115547,"wm_Henson","BrainMap"
"8","bayes_adjusted_85","neurosynth",0.0708389653679085,"wm_Henson","BrainMap"
"9","bayes_adjusted_90","neurosynth",0.0698434742354541,"wm_Henson","BrainMap"
"10","bayes_707","neurosynth",0.0566776917889599,"wm_Henson","BrainMap"
"11","fwe","neurosynth",0.0148176881303336,"wm_Henson","BrainMap"
"12","bayes_adjusted_95","neurosynth",0.0670441158370404,"wm_Henson","BrainMap"
"13","bayes_adjusted_80","brainmap",0.120488173182028,"wm_Henson","BrainMap"
"14","bayes_adjusted_85","brainmap",0.119760764410132,"wm_Henson","BrainMap"
"15","bayes_adjusted_90","brainmap",0.117019477224528,"wm_Henson","BrainMap"
"16","bayes_707","brainmap",0.0784071615990122,"wm_Henson","BrainMap"
"17","fwe","brainmap",0.0090675459438491,"wm_Henson","BrainMap"
"18","bayes_adjusted_95","brainmap",0.109401603566232,"wm_Henson","BrainMap"
"19","bayes_adjusted_80","neuroquery",0.0597475245670333,"wm_Henson","BrainMap"
"20","bayes_adjusted_85","neuroquery",0.0589515593895156,"wm_Henson","BrainMap"
"21","bayes_adjusted_90","neuroquery",0.0569240624272071,"wm_Henson","BrainMap"
"22","bayes_707","neuroquery",0.0434485229456405,"wm_Henson","BrainMap"
"23","fwe","neuroquery",0.010359781561195,"wm_Henson","BrainMap"
"24","bayes_adjusted_95","neuroquery",0.053564437484429,"wm_Henson","BrainMap"
