"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.231470502179035,"wm_DeYoung","BayesMeta"
"2","bayes_adjusted_85","bayes_meta",0.230659622158181,"wm_DeYoung","BayesMeta"
"3","bayes_adjusted_90","bayes_meta",0.218800459117172,"wm_DeYoung","BayesMeta"
"4","bayes_707","bayes_meta",0.0920633910386965,"wm_DeYoung","BayesMeta"
"5","fwe","bayes_meta",0.00103902101131378,"wm_DeYoung","BayesMeta"
"6","bayes_adjusted_95","bayes_meta",0.216915698941778,"wm_DeYoung","BayesMeta"
"7","bayes_adjusted_80","neurosynth",0.199270935960591,"wm_DeYoung","BayesMeta"
"8","bayes_adjusted_85","neurosynth",0.205829345596918,"wm_DeYoung","BayesMeta"
"9","bayes_adjusted_90","neurosynth",0.235167669819432,"wm_DeYoung","BayesMeta"
"10","bayes_707","neurosynth",0.174218251435865,"wm_DeYoung","BayesMeta"
"11","fwe","neurosynth",0.00423764725824222,"wm_DeYoung","BayesMeta"
"12","bayes_adjusted_95","neurosynth",0.237491385251551,"wm_DeYoung","BayesMeta"
"13","bayes_adjusted_80","brainmap",0.254193526323889,"wm_DeYoung","BayesMeta"
"14","bayes_adjusted_85","brainmap",0.258240188551227,"wm_DeYoung","BayesMeta"
"15","bayes_adjusted_90","brainmap",0.265879107432868,"wm_DeYoung","BayesMeta"
"16","bayes_707","brainmap",0.142651181417701,"wm_DeYoung","BayesMeta"
"17","fwe","brainmap",0.00255990169977473,"wm_DeYoung","BayesMeta"
"18","bayes_adjusted_95","brainmap",0.265565351754227,"wm_DeYoung","BayesMeta"
"19","bayes_adjusted_80","neuroquery",0.151733184926061,"wm_DeYoung","BayesMeta"
"20","bayes_adjusted_85","neuroquery",0.155325598411205,"wm_DeYoung","BayesMeta"
"21","bayes_adjusted_90","neuroquery",0.170264832236663,"wm_DeYoung","BayesMeta"
"22","bayes_707","neuroquery",0.129293410322043,"wm_DeYoung","BayesMeta"
"23","fwe","neuroquery",0.00369685767097967,"wm_DeYoung","BayesMeta"
"24","bayes_adjusted_95","neuroquery",0.17116388090521,"wm_DeYoung","BayesMeta"
