"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.159366241750294,"wm_HCP","BayesMeta"
"2","bayes_adjusted_85","bayes_meta",0.153593535888107,"wm_HCP","BayesMeta"
"3","bayes_adjusted_90","bayes_meta",0.141105696009747,"wm_HCP","BayesMeta"
"4","bayes_707","bayes_meta",0.0243786375782423,"wm_HCP","BayesMeta"
"5","fwe","bayes_meta",7.72111338455005e-05,"wm_HCP","BayesMeta"
"6","bayes_adjusted_95","bayes_meta",0.112772442348611,"wm_HCP","BayesMeta"
"7","bayes_adjusted_80","neurosynth",0.204611238646572,"wm_HCP","BayesMeta"
"8","bayes_adjusted_85","neurosynth",0.203454280535911,"wm_HCP","BayesMeta"
"9","bayes_adjusted_90","neurosynth",0.198341862033401,"wm_HCP","BayesMeta"
"10","bayes_707","neurosynth",0.0597014925373134,"wm_HCP","BayesMeta"
"11","fwe","neurosynth",0.000256060088767497,"wm_HCP","BayesMeta"
"12","bayes_adjusted_95","neurosynth",0.178864552474382,"wm_HCP","BayesMeta"
"13","bayes_adjusted_80","brainmap",0.218973273352739,"wm_HCP","BayesMeta"
"14","bayes_adjusted_85","brainmap",0.213007359500446,"wm_HCP","BayesMeta"
"15","bayes_adjusted_90","brainmap",0.198712889320624,"wm_HCP","BayesMeta"
"16","bayes_707","brainmap",0.0381020848310568,"wm_HCP","BayesMeta"
"17","fwe","brainmap",0.000154249575813667,"wm_HCP","BayesMeta"
"18","bayes_adjusted_95","brainmap",0.162229911029516,"wm_HCP","BayesMeta"
"19","bayes_adjusted_80","neuroquery",0.145379654951214,"wm_HCP","BayesMeta"
"20","bayes_adjusted_85","neuroquery",0.145193314320783,"wm_HCP","BayesMeta"
"21","bayes_adjusted_90","neuroquery",0.142061281337047,"wm_HCP","BayesMeta"
"22","bayes_707","neuroquery",0.0395462423192059,"wm_HCP","BayesMeta"
"23","fwe","neuroquery",0.000266004610746586,"wm_HCP","BayesMeta"
"24","bayes_adjusted_95","neuroquery",0.129360392993599,"wm_HCP","BayesMeta"
