"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.161978040434153,"wm_Henson","BayesMeta"
"2","bayes_adjusted_85","bayes_meta",0.162509807388417,"wm_Henson","BayesMeta"
"3","bayes_adjusted_90","bayes_meta",0.161492916556799,"wm_Henson","BayesMeta"
"4","bayes_707","bayes_meta",0.125617719731733,"wm_Henson","BayesMeta"
"5","fwe","bayes_meta",0.0238948184806293,"wm_Henson","BayesMeta"
"6","bayes_adjusted_95","bayes_meta",0.156378658647969,"wm_Henson","BayesMeta"
"7","bayes_adjusted_80","neurosynth",0.0711528262558739,"wm_Henson","BayesMeta"
"8","bayes_adjusted_85","neurosynth",0.0709118549000079,"wm_Henson","BayesMeta"
"9","bayes_adjusted_90","neurosynth",0.0699236067988505,"wm_Henson","BayesMeta"
"10","bayes_707","neurosynth",0.0566776917889599,"wm_Henson","BayesMeta"
"11","fwe","neurosynth",0.0148176881303336,"wm_Henson","BayesMeta"
"12","bayes_adjusted_95","neurosynth",0.0671814671814672,"wm_Henson","BayesMeta"
"13","bayes_adjusted_80","brainmap",0.120535513218934,"wm_Henson","BayesMeta"
"14","bayes_adjusted_85","brainmap",0.119837218434298,"wm_Henson","BayesMeta"
"15","bayes_adjusted_90","brainmap",0.117147310989867,"wm_Henson","BayesMeta"
"16","bayes_707","brainmap",0.0784071615990122,"wm_Henson","BayesMeta"
"17","fwe","brainmap",0.0090675459438491,"wm_Henson","BayesMeta"
"18","bayes_adjusted_95","brainmap",0.10954522275277,"wm_Henson","BayesMeta"
"19","bayes_adjusted_80","neuroquery",0.0593990649917536,"wm_Henson","BayesMeta"
"20","bayes_adjusted_85","neuroquery",0.0587204091316497,"wm_Henson","BayesMeta"
"21","bayes_adjusted_90","neuroquery",0.0570564897033818,"wm_Henson","BayesMeta"
"22","bayes_707","neuroquery",0.0434485229456405,"wm_Henson","BayesMeta"
"23","fwe","neuroquery",0.010359781561195,"wm_Henson","BayesMeta"
"24","bayes_adjusted_95","neuroquery",0.0534116232181387,"wm_Henson","BayesMeta"
