"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.230791197981945,"wm_DeYoung","NeuroQuery"
"2","bayes_adjusted_85","bayes_meta",0.229303504150969,"wm_DeYoung","NeuroQuery"
"3","bayes_adjusted_90","bayes_meta",0.225483113599422,"wm_DeYoung","NeuroQuery"
"4","bayes_707","bayes_meta",0.0920633910386965,"wm_DeYoung","NeuroQuery"
"5","fwe","bayes_meta",0.00103902101131378,"wm_DeYoung","NeuroQuery"
"6","bayes_adjusted_95","bayes_meta",0.210078189213682,"wm_DeYoung","NeuroQuery"
"7","bayes_adjusted_80","neurosynth",0.204221603472279,"wm_DeYoung","NeuroQuery"
"8","bayes_adjusted_85","neurosynth",0.212537391646106,"wm_DeYoung","NeuroQuery"
"9","bayes_adjusted_90","neurosynth",0.224995750673822,"wm_DeYoung","NeuroQuery"
"10","bayes_707","neurosynth",0.174218251435865,"wm_DeYoung","NeuroQuery"
"11","fwe","neurosynth",0.00423764725824222,"wm_DeYoung","NeuroQuery"
"12","bayes_adjusted_95","neurosynth",0.244092357645361,"wm_DeYoung","NeuroQuery"
"13","bayes_adjusted_80","brainmap",0.257401417537162,"wm_DeYoung","NeuroQuery"
"14","bayes_adjusted_85","brainmap",0.261208249271464,"wm_DeYoung","NeuroQuery"
"15","bayes_adjusted_90","brainmap",0.265148417695642,"wm_DeYoung","NeuroQuery"
"16","bayes_707","brainmap",0.142651181417701,"wm_DeYoung","NeuroQuery"
"17","fwe","brainmap",0.00255990169977473,"wm_DeYoung","NeuroQuery"
"18","bayes_adjusted_95","brainmap",0.262031955116478,"wm_DeYoung","NeuroQuery"
"19","bayes_adjusted_80","neuroquery",0.154546956988803,"wm_DeYoung","NeuroQuery"
"20","bayes_adjusted_85","neuroquery",0.159498247393135,"wm_DeYoung","NeuroQuery"
"21","bayes_adjusted_90","neuroquery",0.165836298932384,"wm_DeYoung","NeuroQuery"
"22","bayes_707","neuroquery",0.129293410322043,"wm_DeYoung","NeuroQuery"
"23","fwe","neuroquery",0.00369685767097967,"wm_DeYoung","NeuroQuery"
"24","bayes_adjusted_95","neuroquery",0.173714355349744,"wm_DeYoung","NeuroQuery"
