"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.155358186280238,"wm_HCP","NeuroQuery"
"2","bayes_adjusted_85","bayes_meta",0.146361931088953,"wm_HCP","NeuroQuery"
"3","bayes_adjusted_90","bayes_meta",0.131151476354325,"wm_HCP","NeuroQuery"
"4","bayes_707","bayes_meta",0.0243786375782423,"wm_HCP","NeuroQuery"
"5","fwe","bayes_meta",7.72111338455005e-05,"wm_HCP","NeuroQuery"
"6","bayes_adjusted_95","bayes_meta",0.0999368059944028,"wm_HCP","NeuroQuery"
"7","bayes_adjusted_80","neurosynth",0.203860409818868,"wm_HCP","NeuroQuery"
"8","bayes_adjusted_85","neurosynth",0.201033081393141,"wm_HCP","NeuroQuery"
"9","bayes_adjusted_90","neurosynth",0.19228458633711,"wm_HCP","NeuroQuery"
"10","bayes_707","neurosynth",0.0597014925373134,"wm_HCP","NeuroQuery"
"11","fwe","neurosynth",0.000256060088767497,"wm_HCP","NeuroQuery"
"12","bayes_adjusted_95","neurosynth",0.168189455996639,"wm_HCP","NeuroQuery"
"13","bayes_adjusted_80","brainmap",0.214830310203408,"wm_HCP","NeuroQuery"
"14","bayes_adjusted_85","brainmap",0.205595678468675,"wm_HCP","NeuroQuery"
"15","bayes_adjusted_90","brainmap",0.186164899958114,"wm_HCP","NeuroQuery"
"16","bayes_707","brainmap",0.0381020848310568,"wm_HCP","NeuroQuery"
"17","fwe","brainmap",0.000154249575813667,"wm_HCP","NeuroQuery"
"18","bayes_adjusted_95","brainmap",0.14475109235538,"wm_HCP","NeuroQuery"
"19","bayes_adjusted_80","neuroquery",0.145525568181818,"wm_HCP","NeuroQuery"
"20","bayes_adjusted_85","neuroquery",0.143872388088525,"wm_HCP","NeuroQuery"
"21","bayes_adjusted_90","neuroquery",0.138196448876061,"wm_HCP","NeuroQuery"
"22","bayes_707","neuroquery",0.0395462423192059,"wm_HCP","NeuroQuery"
"23","fwe","neuroquery",0.000266004610746586,"wm_HCP","NeuroQuery"
"24","bayes_adjusted_95","neuroquery",0.121627432011179,"wm_HCP","NeuroQuery"
