"","method","template","index","data","origin"
"1","bayes_adjusted_80","bayes_meta",0.162327383876426,"wm_Henson","NeuroQuery"
"2","bayes_adjusted_85","bayes_meta",0.16214930499153,"wm_Henson","NeuroQuery"
"3","bayes_adjusted_90","bayes_meta",0.159799979641694,"wm_Henson","NeuroQuery"
"4","bayes_707","bayes_meta",0.125617719731733,"wm_Henson","NeuroQuery"
"5","fwe","bayes_meta",0.0238948184806293,"wm_Henson","NeuroQuery"
"6","bayes_adjusted_95","bayes_meta",0.152906074350899,"wm_Henson","NeuroQuery"
"7","bayes_adjusted_80","neurosynth",0.0709395747758919,"wm_Henson","NeuroQuery"
"8","bayes_adjusted_85","neurosynth",0.0705704245892304,"wm_Henson","NeuroQuery"
"9","bayes_adjusted_90","neurosynth",0.0690474342054188,"wm_Henson","NeuroQuery"
"10","bayes_707","neurosynth",0.0566776917889599,"wm_Henson","NeuroQuery"
"11","fwe","neurosynth",0.0148176881303336,"wm_Henson","NeuroQuery"
"12","bayes_adjusted_95","neurosynth",0.0652240579599034,"wm_Henson","NeuroQuery"
"13","bayes_adjusted_80","brainmap",0.119892896149194,"wm_Henson","NeuroQuery"
"14","bayes_adjusted_85","brainmap",0.118384086690413,"wm_Henson","NeuroQuery"
"15","bayes_adjusted_90","brainmap",0.114447309323796,"wm_Henson","NeuroQuery"
"16","bayes_707","brainmap",0.0784071615990122,"wm_Henson","NeuroQuery"
"17","fwe","brainmap",0.0090675459438491,"wm_Henson","NeuroQuery"
"18","bayes_adjusted_95","brainmap",0.105329928055152,"wm_Henson","NeuroQuery"
"19","bayes_adjusted_80","neuroquery",0.0589373863341128,"wm_Henson","NeuroQuery"
"20","bayes_adjusted_85","neuroquery",0.0580064560305194,"wm_Henson","NeuroQuery"
"21","bayes_adjusted_90","neuroquery",0.0556067972548345,"wm_Henson","NeuroQuery"
"22","bayes_707","neuroquery",0.0434485229456405,"wm_Henson","NeuroQuery"
"23","fwe","neuroquery",0.010359781561195,"wm_Henson","NeuroQuery"
"24","bayes_adjusted_95","neuroquery",0.0516468223287459,"wm_Henson","NeuroQuery"
